key;value
51539870337;How many do you want to move?
55834574960;Camp Timber
55834574961;Timber used for operating the camp. It is acquired by donating currency to the camp or through comrade mission dispatch. It is consumed when dispatching comrades.
55834575120;Duchy of Hernand
55834575250;Weapon Skills: Axe
55834575488;Seal
55834837632;Take Out
55834837633;How many do you want to store?
60129542256;Camp Stone
60129542257;Stones used for operating the camp. It is acquired by donating currency to the camp or through comrade mission dispatch. It is consumed when dispatching comrades.
60129542290;Crafting Manuals
60129542291;Crafting the Essentials
60129542416;Kingdom of Demeniss
60129542784;acquired
64424509552;Camp Weapons
64424509553;Combat resource used for equipping comrades. It is acquired by donating currency to the camp or through comrade mission dispatch. It is used when dispatching comrades for crafting equipment.
64424509586;Mounts
64424509587;Travel the Continent
64424509712;Republic of Delesyia
73014444304;Tashkalp
77309411474;Games
77309411475;Games of the Continent of Pywel
77309411730;Martial Arts
81604378720;Carry
81604378770;Adventure
81604378771;Unknown Realms
85899346322;Secondary Skills
90194313312;Carry
90194313618;Weapon Skills: Rapier
94489280914;Weapon Skills: Pistol
98784248210;Weapon Skills: Longsword
120259084690;Martial Arts
128849019282;Secondary Skills
133143986578;Weapon Skills: Dagger
163208757650;Martial Arts
171798692242;Secondary Skills
214748364946;Small Tools
214748364947;How to Use Small Tools
214748365202;Kliff Skills
219043332242;Meats and Grains
219043332243;Fundamentals of Cooking
219043332498;Oongka Skills
223338299538;Fruits and Vegetables
223338299539;Nature's bounty
223338299794;Damiane Skills
227633266784;Assassinate
227633266800;Gold Bar
227633266801;A heavy bar of gold. It was definitely refined by a skilled blacksmith. Gold, one of the rarest metals, is the source and center of all wealth. Its value is beyond imagination.
227633266834;Mushrooms and herbs
227633266835;Nature's vitality
227633267090;Temporary Yann Skill
236223201376;Restrain
236223201426;Minerals
236223201427;Nature's Brilliance
240518168672;Read Letter
244813135968;Push
244813136018;Crafting Materials
244813136019;Raw Materials
257698037906;Main Equipment
257698037907;Main Equipment
261993005202;Duchy of Hernand
261993005203;Scarred by Warfare
266287972498;Duchy of Hernand Sub Inner Node
266287972499;Scarred by Warfare
270582939794;Tribal State of Pailune
270582939795;Untamed Lands
274877907090;Tribal State of Pailune Sub Inner Node
274877907091;Untamed Lands
279172874386;Kingdom of Demeniss
279172874387;Pinnacle of Ambition
283467841682;Kingdom of Demeniss
283467841683;Pinnacle of Ambition
287762808978;Republic of Delesyia
287762808979;Led by Mechanical Minds
292057776274;Republic of Delesyia
292057776275;Led by Mechanical Minds
296352743570;Crimson Desert
296352743571;Lawless Lands Stained by Blood
300647710866;Crimson Desert
300647710867;Lawless Lands Stained by Blood
304942678162;Main Quests
304942678163;The Adventure Begins
309237645458;Lead
309237645459;Hidden Piece of the Story
313532612754;Side Quests
313532612755;Tales of the Continent of Pywel
322122547296;Comfort
326417514642;Lead
326417514643;Path of Knowledge
330712481938;Memory Fragments
330712481939;Memory Fragment Collection
335007449234;Tales of the Residents
335007449235;Tales of the Residents
339302416530;Finale
339302416531;Finale
343597383826;Encounter
343597383827;Encounter
347892351072;Carry
347892351122;Duchy of Hernand
347892351123;Faded Glory of a Toppled Kingdom
352187318418;Tribal State of Pailune
352187318419;Shadows of a Lost Dynasty
356482285664;Pull Down
356482285714;Kingdom of Demeniss
356482285715;Land of Lofty Aspirations
360777253010;Republic of Delesyia
360777253011;The Crossroads of Reason and Progress
365072220256;Kick
365072220306;Crimson Desert
365072220307;Blood Soaked Sands of the Past
369367187602;Religious Orders
369367187603;Yearning for Enlightenment and Salvation
373662154898;Continent of Pywel - Not used as Character Knowledge
373662154899;Lands of Intertwined Fate and Destiny
377957122144;Catch
377957122194;Continent of Pywel
377957122195;The Forces of Conflict and Strife
386547056786;Paintings
386547056787;Stories in Color and Line
395136991378;How to Dye
395136991379;The Hidden Ways of Giving Life in Color
403726925970;Ornaments
403726925971;Creations of Nature and Mankind
408021893266;Containers
408021893267;Storing Food and Drink
429496729648;Player
429496729649;PHM_Description_Player_001
429496729728;Trade Goods
433791697008;Heavy Copper Pouch
433791697009;A pouch containing a substantial amount of copper coins. It's roughly what an average peasant earns after a week of hard labor.
433791697042;Abyss Gate
433791697043;Gateway to a Mystical Adventure
433791697298;Pororin
438086664304;Bulging Copper Pouch
438086664305;A pouch containing a massive sum of copper coins. It may contain valuables other than copper coins.
438086664594;Scholastone Institute
442381631600;Decent Copper Pouch
442381631601;A pouch containing a fair amount of copper coins. It might be the daily wage of a farmhand.
442381631890;Urdavah
446676598896;Heavy Silver Pouch
446676598897;A pouch containing a substantial amount of silver coins. Only those of nobles lineage would carry such amount of silvers on them.
446676598930;Terrestrial Creatures
446676598931;Creatures of the Land
446676599186;Ironflame Steelworks
450971566192;Bulging Silver Pouch
450971566193;A pouch bursting with silver. It appears to be the amassed fortune of a renowned noble or merchant.
450971566482;Delesyia Royal Institute
455266533522;Aerial Creatures
455266533523;Creatures of the Sky
455266533778;Dewhaven Keep
459561500768;Examine
459561500818;Mysterious Creatures
459561500819;Creatures of Mystery
463856468114;Legendary Creatures
463856468115;Creatures of Myth
468151435410;Mechanical Creatures
468151435411;Creatures of Purpose and Design
472446402706;Magical Creatures
472446402707;Creatures of Conjuring
476741370002;Skills
476741370003;Various Combat Skills
481036337298;Skills
481036337299;Various Combat Skills
485331304594;Mount Skills
485331304595;Mount Skills
489626271890;Regions
489626271891;A Land Steeped in History
493921239186;Hidden Spaces
493921239187;Sites of Trials and Secrets
498216206482;Caves
498216206483;Cracks in Nature
502511173778;Spires
502511173779;Lone Spires Reaching for the Skies
506806141074;Region Name
506806141075;Glossary
511101108370;Patches
515396075666;Abyss Name
515396075667;For World Map Name Display
519691042962;Faction Skills
519691042963;Faction Skills
575525617810;Aquatic Creatures
575525617811;Creatures of the Deep
601295421586;Provisions
601295421587;Food for Adventures
605590388882;Alchemy
605590388883;Mystical Concoctions
609885356178;Tools
609885356179;Crafted by Hand
614180323474;Research Knowledge
614180323475;Research Knowledge
618475290770;Equipment
618475290771;Creations of the Forge
622770258066;Kuku Pot
622770258067;Innovative Creations
627065225362;Abyss Gears
627065225363;Fallen Parts of the Abyss
631360192658;Dyes
631360192659;Vibrant Hues in a Bottle
635655159954;Replenishing Ammo
635655159955;Replenishing Bullets
639950127250;Investigation Knowledge
639950127251;Investigation Knowledge
644245094546;Investigation Knowledge
644245094547;Beighen Investigation Knowledge
648540061792;{emoji:cd_icon_ability_wanted_immune} Threaten
648540061842;Loyal Companions
648540061843;Companions for Long Journeys
652835029138;Fleeting Companions
652835029139;Companions for Momentary Trips
657129996384;{emoji:cd_icon_ability_wanted_immune} Pickpocket
657129996434;Continental Travel
657129996435;Connecting Pywel by Land, Water, and Sky
661424963680;{emoji:cd_icon_ability_wanted_immune} Pickpocket
661424963730;Siege Weapons
661424963731;Weapons to Defend or Breach
665719931026;Characters with hidden mount knowledge
665719931027;Temp Data
670014898272;Play Rock, Paper, Scissors
687194767506;Main Menu Interface
687194767507;Main Menu Interface
691489734802;Constellation
691489734803;Vast World of Adventure
695784702098;Stone Lantern
700079669394;Lv. and Access Knowledge
704374636690;Abyss Nexus Knowledge
708669603986;Level Game Mechanic Knowledge
712964571232;Talk
712964571282;Faction UI Card Knowledge
717259538528;Talk
717259538578;Bestowal of Title
717259538579;Bestowal of Title
721554505824;Talk
721554505874;Place of Skill Learning
721554505875;Display Place of Skill Learning
725849473120;Talk
725849473170;Treasure Map
725849473171;Treasure Map Knowledge
730144440416;Give Coin ({Money:Money_Copper:1})
730144440466;Game Mechanic Knowledge
730144440467;Game Mechanic Knowledge
734439407712;Challenge
734439407762;Investigation Knowledge
734439407763;Investigation Knowledge on Extinguishing the Last Flames
738734375008;Accept Request
738734375058;Contracts
738734375059;Documents Where Promises Take Shape
743029342304;Talk
743029342354;Investigation Knowledge
743029342355;Investigation Knowledge on Extinguishing the Last Flames
747324309600;Greet - Unused
747324309650;Investigation Knowledge
747324309651;Investigation Knowledge on Extinguishing the Last Flames
751619276896;Greet - Unused
751619276946;Investigation Knowledge
751619276947;Investigation Knowledge on Extinguishing the Last Flames
755914244242;Investigation Knowledge
755914244243;Investigation Knowledge on Extinguishing the Last Flames
773094113376;Gift
773094113426;Hernand
773094113427;A memory fragment of Hernand.
777389080672;Trade
777389080722;Demeniss
777389080723;A memory fragment of Demeniss.
781684048018;Delesyia
781684048019;A memory fragment of Delesyia.
785979015314;Pailune
785979015315;A memory fragment of Pailune.
790273982610;Crimson Desert
790273982611;A memory fragment of Crimson Desert.
794568949906;Minigames
794568949907;Another Challenge Hidden Between Adventures
798863917202;The Abyss
798863917203;A memory fragment of Abyss.
803158884448;Look Around
811748819040;Give Coin ({Money:Money_Copper:1})
816043786336;Untie
828928688224;Restrain
863288426642;The Greymanes
863288426643;People with Firm Beliefs
863288426898;Kuku Pot
863291310433;Not enough understanding of the Abyssal power.<br/>You must acquire knowledge through research.
867583393938;Duchy of Hernand
867583393939;People in Search of Small Hopes
867585491297;Not enough understanding of the power of nature.<br/>You must acquire knowledge through research.
871878361234;Tribal State of Pailune
871878361235;People of the Snowy Mountains
871880982881;Not enough understanding of the power of life.<br/>You must acquire knowledge through research.
876173328530;Kingdom of Demeniss
876173328531;People Blessed by the Land's Bounty
880468295826;Undisplayed Character_Demeniss Knowledge
880468295827;People Blessed by the Land's Bounty
884763263122;Republic of Delesyia
884763263123;People Turning Imagination into Reality
889058230418;Undisplayed character_Delesyia Knowledge
889058230419;People Turning Imagination into Reality
893353197714;Crimson Desert
893353197715;People of the Great Expanse
897648165010;Crimson Desert Knowledge Unexposed Character
897648165011;Temp Data
901943132306;The Continent of Pywel
901943132307;The Continent of Pywel
906238099584;Consumable
906238099602;Residents
906238099603;Beings with Mystical Powers
910533066898;Mighty Foes
910533066899;Mighty Foes
914828034194;Street Vendor
914828034195;Street Vendor
1292785156192;Load
1297080123488;Unload
1301375090784;Ride
1705102016608;Ride
1709396983904;{emoji:cd_icon_ability_wanted_immune} Steal
1713691951200;{emoji:cd_icon_ability_wanted_immune} Steal
1717986918448;Kliff
1717986918449;PHM_Description_Player_001
1717986918496;Ride
1722281885744;Young Jian
1722281885745;PHM_Description_001
1722281885792;Ride
1726576853040;Yann
1726576853041;PHM_Description_Player_001
1726576853088;Ride
1730871820336;Gabriel Caliburn
1730871820337;PHM_Description_001
1730871820384;Ride
1735166787632;Damiane
1735166787633;PHW_Description_Player_001
1735166787680;Ride
1739461754928;Duane
1739461754929;PHM_Description_001
1739461754976;Ride
1743756722224;Oongka
1743756722225;PHM_Description_Player_001
1743756722272;Ride
1748051689568;Ride
1752346656816;Pryce
1752346656817;PHM_Description_001
1752346656864;Ride
1756641624112;Ryan
1756641624113;PHM_Description_001
1756641624114;Comrade Found
1756641624160;Ride
1760936591408;Shane
1760936591409;PHM_Description_001
1760936591456;Operate
1765231558704;Jian
1765231558705;PHM_Description_001
1765231558752;Operate
1769526526000;Naira
1769526526001;PHM_Description_Player_001
1773821493296;Elnoa
1773821493297;PHM_Description_Player_001
1782411427888;Alida
1782411427889;PHM_Description_001
1786706395184;Ludvig
1786706395185;PHM_Description_001
1786706395232;Operate
1791001362528;Operate
1795296329776;Nevra Yailar
1795296329777;PHM_Description_001
1795296329824;Operate
1799591297072;Selvia
1799591297073;PHM_Description_001
1825361100848;Weasel
1825361100849;PHM_Description_001
1829656068144;Lioewyn
1829656068145;PHM_Description_001
1833951035440;Devota
1833951035441;PHM_Description_001
1833951035488;Stow Away
1838246002736;Hallet
1838246002737;PHM_Description_001
1838246002784;Stow Away
1842540970032;Rucchia
1842540970033;PHM_Description_001
1846835937328;Raptor
1846835937329;PHM_Description_001
1855425871920;Sven
1855425871921;PHM_Description_001
1868310773808;Beatrice Azerian
1868310773809;PHM_Description_001
1868310773856;Catch
1885490642992;Lauren
1885490642993;PHM_Description_001
1889785610288;Arlan
1889785610289;PHM_Description_001
1894080577584;Rhett
1894080577585;PTM_Description_001
1894080577632;Ride
1902670512176;Yann
1902670512177;PHM_Description_Player_001
1906965479472;Naira
1906965479473;PHM_Description_Player_001
1911260446768;Oongka
1911260446769;PHM_Description_Player_001
1932735283248;Renee
1932735283249;PHM_Description_001
1937030250544;Delkin
1937030250545;PHM_Description_001
1937030250592;Operate
1945620185136;Bran
1945620185137;PHM_Description_001
1971389988912;Emir
1971389988913;PHM_Description_001
1975684956208;Frederick Felix
1975684956209;PHM_Description_001
1979979923504;House Grace Butler
1979979923505;PHM_Description_001
1979979923552;Operate
1984274890848;Operate
1988569858144;Ride
1992864825440;Call to ride a horse
1997159792736;Ride
2005749727280;Letorich
2005749727281;PHM_Description_001
2005749727328;Ride
2010044694576;Marius
2010044694577;PHM_Description_001
2010044694578;Comrade Found
2010044694624;Ride
2014339661920;Ride
2018634629168;Grimrick
2018634629169;PTM_Description_001
2027224563760;Temir
2027224563761;PTM_Description_001
2031519531056;Solham
2031519531057;PHM_Description_001
2040109465648;Driana
2040109465649;PHM_Description_001
2087354105904;Olanelle
2087354105905;PHM_Description_001
2091649073200;Palgar
2091649073201;PHM_Description_001
2113123909680;Kathor
2113123909681;PTM_Description_001
2117418876976;Gunter
2117418876977;PTM_Description_001
2121713844272;Ronnard
2121713844273;PHM_Description_001
2130303778864;Lola
2130303778865;PHM_Description_001
2134598746160;Arkin
2134598746161;PHM_Description_001
2143188680752;Ara
2143188680753;PHM_Description_001
2147483648048;Dean Grundir
2147483648049;PTM_Description_001
2147483648146;Skills
2147483648147;How to Use Small Tools
2151778615344;Octavius
2151778615345;PTM_Description_001
2156073582640;Old Octavius
2156073582641;PTM_Description_001
2190433321106;Meat
2190433321107;The Nourishing Mainstay of the Table
2194728288402;Grains
2194728288403;Source of life nurtured by earth and sunlight
2216203124784;Terianne
2216203124785;PHM_Description_001
2220498092080;Leonard
2220498092081;PHM_Description_001
2229088026672;Mariana
2229088026673;PHM_Description_001
2233382994066;Vegetables
2233382994067;Nature's fresh palette, formed by earth and wind
2237677961362;Fruits
2237677961363;Sweet natural fragrance shaped by the seasons
2250562863152;Ava
2250562863153;PHM_Description_001
2267742732336;Esford
2267742732337;PHM_Description_001
2276332666928;Kiki
2276332666929;PHM_Description_001
2276332667026;Mushrooms
2276332667027;Nature's gift grown under the shadows
2280627634322;Medicinal herbs
2280627634323;Healing and renewal from nature
2284922601618;Poisonous Herbs
2284922601619;Fragrant, Colorful Blossoms That Lure You, Hiding Ruin Within
2289217568914;Rare Medicinal Herbs
2289217568915;Rare Medicinal Herbs
2306397438000;Aegrin
2306397438001;PHM_Description_001
2336462209072;Heinkel the Worker
2336462209073;PHM_Description_001
2362232012946;Stone
2362232012947;Hard resources quarried from the earth.
2366526980242;Ores
2366526980243;Precious resources quarried from rocks and earth.
2370821947538;Rare Minerals
2370821947539;Precious resources quarried from rocks and earth.
2448131358866;Artifacts
2448131358867;Artifacts
2452426326162;Ingredients
2452426326163;Ingredients
2456721293458;Timber
2456721293459;Timber
2461016260754;Leather
2461016260755;Leather
2465311227952;Ashton
2465311227953;PHM_Description_001
2465311227954;Comrade Found
2465311228050;Bone
2465311228051;Bone
2469606195346;Fur
2469606195347;Fur
2473901162642;Common Materials
2473901162643;Common Materials
2478196129938;Special Materials
2478196129939;Special Materials
2482491097234;Rare Materials
2482491097235;Rare Materials
2486786064432;Stranger
2486786064433;PHM_Description_001
2581275345042;Equipment
2581275345043;Rare equipment
2662879723568;Barden Middler
2662879723569;PHM_Description_001
2667174690864;Yann
2667174690865;PHM_Description_Player_001
2697239461936;Alec
2697239461937;PHM_Description_001
2697239461938;Comrade Found
2701534429232;Fred
2701534429233;PHM_Description_001
2701534429234;Comrade Found
2710124363824;Ronnie
2710124363825;PHM_Description_001
2710124363826;Comrade Found
2735894167600;Ed
2735894167601;PHM_Description_001
2735894167602;Comrade Found
2744484102192;Gilbert
2744484102193;PHM_Description_001
2744484102194;Comrade Found
2748779069488;Max
2748779069489;PHM_Description_001
2748779069490;Comrade Found
2753074036784;Silvan
2753074036785;PHM_Description_001
2753074036786;Comrade Found
2757369004080;Lars
2757369004081;PHM_Description_001
2757369004082;Comrade Found
2761663971376;Pierce
2761663971377;PHM_Description_001
2761663971378;Comrade Found
2778843840560;Andrew
2778843840561;PHM_Description_001
2778843840562;Comrade Found
2787433775152;Arnold
2787433775153;PHM_Description_001
2787433775154;Comrade Found
2791728742448;Lucius
2791728742449;PHM_Description_001
2791728742450;Comrade Found
2808908611632;Duncan
2808908611633;PHM_Description_001
2808908611634;Comrade Found
2813203578928;Anders
2813203578929;PHM_Description_001
2813203578930;Comrade Found
2834678415408;Aldric
2834678415409;PHM_Description_001
2834678415410;Comrade Found
2838973382704;Luke
2838973382705;PHM_Description_001
2838973382706;Comrade Found
2838973382802;The Abyss
2838973382803;Realm of Cosmic Order
2843268350098;Spires
2843268350099;Skyward Structures
2847563317394;Sanctums
2847563317395;Seekers of False Salvation
2851858284690;Greymane Shrines
2851858284691;Memorials to the Valiant
2856153251986;Witch Hideouts
2856153251987;Beings Shrouded in Mystery
2869038153776;Terry
2869038153777;PHM_Description_001
2869038153778;Comrade Found
2869038153874;Facility
2869038153875;Main Bases of Each Faction
3019362009136;Wynstan
3019362009137;PHM_Description_001
3019362009138;Comrade Found
3023656976432;Carl
3023656976433;PHM_Description_001
3023656976434;Comrade Found
3032246911024;Conrad
3032246911025;PHM_Description_001
3032246911026;Comrade Found
3036541878320;Kamu
3036541878321;PHM_Description_001
3036541878322;Comrade Found
3478923509906;Greymanes
3478923509907;Greymanes
3483218477202;Core Factions
3483218477203;Houses of Hernand
3487513444498;Goldleaf Merchant Guild
3487513444499;Goldleaf Merchant Guild
3491808411794;Other Factions
3491808411795;Villages of Hernand
3496103379090;Threats of Hernand
3496103379091;Threats of the Continent
3500398346386;Hostile Factions
3500398346387;Factions of Hernand
3521873182866;Core Factions
3521873182867;Pailune
3526168150162;Other Factions
3526168150163;Outlaws of Pailune
3530463117458;Threats of Pailune
3530463117459;Threats of the Continent
3534758084754;Hostile Factions
3534758084755;Pailune's Future
3564822855826;Other Factions
3564822855827;Houses of Demeniss
3569117823122;Core Factions
3569117823123;Hexe Marie
3573412790418;Threats of Demeniss
3573412790419;Threats of the Continent
3577707757714;Hostile Factions
3577707757715;Factions of Demeniss
3607772528786;Core Factions
3607772528787;Delesyia and Marni
3612067496082;Other Factions
3612067496083;Villages of Delesyia
3616362463378;Threats of Delesyia
3616362463379;Threats of the Continent
3620657430674;Hostile Factions
3620657430675;Factions of Delesyia
3650722201746;Crimson Desert Expeditioners
3650722201747;Crimson Desert Expeditioners
3655017169042;Core Factions
3655017169043;Factions of the Crimson Desert
3659312136338;Other Factions
3659312136339;Nature of the Crimson Desert
3663607103634;Hostile Factions
3663607103635;Crimson Desert Outlaws
3667902070930;Threats of the Crimson Desert
3667902070931;Threats of the Continent
3672197038226;Factions of the Crimson Desert
3672197038227;Factions of the Crimson Desert
3693671874706;Religious Orders
3693671874707;Religious Orders
3779571220626;Other Factions
3779571220627;Pywel's Great Factions
3783866187922;Religious Orders
3783866187923;Threats of the Continent
3865470566546;Portraits
3865470566547;Portraits
3869765533842;Landscapes
3869765533843;Landscapes
3874060501138;History Paintings
3874060501139;History Paintings
3878355468434;Animal Paintings
3878355468435;Animal Paintings
3951369912466;Hernandian Dyeing Technique
3951369912467;Hernandian Dyeing Technique
3955664879762;Demenissian Dyeing Technique
3955664879763;Demenissian Dyeing Technique
3959959847058;Delesyian Dyeing Technique
3959959847059;Delesyian Dyeing Technique
3964254814354;Pailunese Dyeing Technique
3964254814355;Pailunese Dyeing Technique
3968549781650;Calphadean Dyeing Technique
3968549781651;Calphadean Dyeing Technique
3972844748946;Varnian Dyeing Technique
3972844748947;Varnian Dyeing Technique
3977139716242;Pororin Dyeing Technique
3977139716243;Pororin Dyeing Technique
3981434683538;Tommasoan Dyeing Technique
3981434683539;Tommasoan Dyeing Technique
3990024618130;Oliver's Dyeing Method
3990024618131;Oliver's Dyeing Method
4037269258386;Crafted Ornaments
4037269258387;Crafted Ornaments
4041564225682;Natural Ornaments
4041564225683;Natural Ornaments
4045859192978;Lights
4045859192979;Lights
4050154160274;Boxes
4050154160275;Boxes
4054449127570;Junk
4054449127571;Junk
4058744094866;Trophies
4058744094867;Trophies
4080218931346;Ceramic Containers
4080218931347;Ceramic Containers
4084513898642;Metal Containers
4084513898643;Metal Containers
4088808865938;Glass Containers
4088808865939;Glass Containers
4093103833234;Wooden Containers
4093103833235;Wooden Containers
4097398800530;Stone Containers
4097398800531;Stone Containers
4101693767826;Leather Containers
4101693767827;Leather Containers
4294967296048;Servant
4294967296049;PHM_Description_001
4471060955282;Cats and Dogs
4471060955283;Cats and Dogs
4475355922578;Apex Predators
4475355922579;Apex Predators
4479650889874;Deer and Reindeer
4479650889875;Deer and Reindeer
4483945857170;Bovines and Pigs
4483945857171;Bovines and Pigs
4488240824466;Amphibians
4488240824467;Frogs and Salamanders
4492535791762;Snakes
4492535791763;Venomous Snakes and Boas
4496830759058;Rabbits and Rodents
4496830759059;Rabbits and Rodents
4501125726354;Arthropods
4501125726355;Arthropods
4505420693650;Other
4505420693651;Other
4509715660946;Foxes and Predators
4509715660947;Foxes and Wolves
4514010628242;Elephant and Hippopotamus
4514010628243;Elephant and Hippopotamus
4518305595538;Reptiles
4518305595539;Lizards and Turtles
4526895530130;Sheep and Goats
4526895530131;Sheep and Goats
4552665333906;Birds
4552665333907;Birds
4561255268498;Parrots
4561255268499;Parrots
4565550235794;Water Birds
4565550235795;Ducks and Geese
4569845203090;Raptors
4569845203091;Raptors
4578435137682;Flightless Birds
4578435137683;Flightless Birds
4595615006866;Chimeras
4595615006867;Chimeras
4599909974162;Unpredictable Insects
4599909974163;Unpredictable Insects
4604204941458;Walkers
4604204941459;Guardwalker
4608499908754;Stoneback Crabs
4608499908755;Stoneback Crabs
4617089843346;Sky Soarers
4617089843347;Sky Soarers
4621384810642;Earthen Beings
4621384810643;Earthen Beings
4625679777938;Otherworldly Beings
4625679777939;Otherworldly Beings
4629974745234;Camouflaged Critters
4629974745235;Camouflaged Critters
4634269712530;Mighty Presences
4634269712531;Mighty Presences
4638564679826;Legendary Animals
4638564679827;Legendary Animals
4681514352786;Swarm Machines
4681514352787;Swarm Machines
4685809320082;Wheeled Machines
4685809320083;Wheeled Machines
4690104287378;Flying Machines
4690104287379;Flying Machines
4694399254674;Humanoid Machines
4694399254675;Humanoid Machines
4728758993042;Chitinous Creatures
4728758993043;Creatures of the Underbrush
4733053960338;Tropical Butterflies
4733053960339;Tropical Butterflies
4733053960464;City of Pailune
4737348927634;Forest Butterflies
4737348927635;Commander Butterfly
4741643894930;Meadow Butterflies
4741643894931;Meadow Butterflies
4745938862226;Garden Butterflies
4745938862227;Garden Butterflies
4750233829522;Moths
4750233829523;Moths
4754528796818;Bees and Flies
4754528796819;Bees and Flies
4758823764114;Beetles
4758823764115;Beetles
4763118731410;Other
4763118731411;Other
4767413698706;Hernand
4767413698707;Threats of Hernand
4771708666002;Mighty Foes
4771708666003;Mighty Foes
4776003633298;Pailune
4776003633299;Threats of Pailune
4780298600594;Demeniss
4780298600595;Threats of Demeniss
4784593567890;Delesyia
4784593567891;Threats of Delesyia
4788888535186;Crimson Desert
4788888535187;Threats of the Crimson Desert
4793183502482;Continent of Pywel
4793183502483;Threats of Pywel
4797478469778;Character with unrevealed creature knowledge
4797478469779;Temp Data
4896262717586;Pywel
4896262717587;Pywel
4900557684882;Hernand
4900557684883;Hernand
4909147619474;Demeniss
4909147619475;Demeniss
4913442586770;Pailune
4913442586771;Pailune
4917737554066;Delesyia
4917737554067;Delesyia
4922032521362;Crimson Desert
4922032521363;Crimson Desert
4939212390546;Secret Chambers
4939212390547;Secret Chambers
4956392259730;Underground Holds
4956392259731;Underground Structures
4960687227026;Ritual Sites
4960687227027;Sites of Secret Rituals
4964982194322;Ancient Ruins
4964982194323;Forgotten Civilizations and Traces of Ancestors
4969277161618;Remnants of War
